,id_participant,merged_datetime,node_id,speed,prev_node_id
455,1,2023-11-01 13:05:42.494000+09:00,2,0.16561480941956738,2
457,1,2023-11-01 14:28:56.009000+09:00,2,0.010097885078123913,2
459,1,2023-11-01 15:01:48.635000+09:00,2,0.008059475685144618,2
460,1,2023-11-01 17:00:10.484000+09:00,2,0.008328009348972527,2
461,1,2023-11-01 17:26:54.361000+09:00,10,0.206872620891422,2
464,1,2023-11-01 18:38:31.568000+09:00,1,0.11718518595550577,10
465,1,2023-11-01 19:05:08.761000+09:00,2,0.08923568770539259,1
466,1,2023-11-01 20:39:16.113000+09:00,3,0.0037034423470941927,2
467,1,2023-11-01 21:07:35.383000+09:00,2,0.010797572894700659,3
469,1,2023-11-01 21:40:19.807000+09:00,2,0.02174118681903915,2
470,1,2023-11-01 22:10:48.013000+09:00,2,0.012459362587844624,2
471,1,2023-11-02 09:00:54.579000+09:00,1,0.004189909959079662,2
472,1,2023-11-02 09:36:16+09:00,1,0.005967502748309672,1
473,1,2023-11-02 09:46:54.807000+09:00,1,0.025801382940721224,1
474,1,2023-11-02 10:07:17.169000+09:00,1,0.0023310146642604116,1
475,1,2023-11-02 12:00:08.598000+09:00,1,0.010833070520028699,1
476,1,2023-11-02 13:52:31.500000+09:00,1,0.007023156989162897,1
477,1,2023-11-02 14:00:05.988000+09:00,1,0.110813956077845,1
478,1,2023-11-02 15:05:08.434000+09:00,1,0.009411397951251687,1
479,1,2023-11-02 16:00:05.085000+09:00,1,0.004876239080242482,1
480,1,2023-11-02 17:00:04.022000+09:00,1,0.005107629449170388,1
482,1,2023-11-02 19:02:33.767000+09:00,1,0.00037218206475057684,1
483,1,2023-11-02 20:26:24.111000+09:00,1,0.00045898598188994367,1
485,1,2023-11-02 21:14:16.999000+09:00,10,0.17644278167744462,1
489,1,2023-11-02 21:30:27.542000+09:00,14,0.38156119366077995,10
490,1,2023-11-02 23:29:20.167000+09:00,2,0.0965203938913274,14
492,1,2023-11-03 03:17:05.457000+09:00,4,0.034043113928206345,2
493,1,2023-11-03 07:56:54.041000+09:00,4,0.000193728013872316,4
494,1,2023-11-03 09:06:16.163000+09:00,4,0.0,4
495,1,2023-11-03 10:00:22.539000+09:00,4,0.0,4
496,1,2023-11-03 14:23:30.332000+09:00,7,0.005122444304190784,4
499,1,2023-11-03 14:38:00.521000+09:00,1,0.46370744194379987,7
506,1,2023-11-03 15:52:07.310000+09:00,1,0.005412947829117581,1
507,1,2023-11-03 17:00:19.540000+09:00,2,0.030109662506561625,1
508,1,2023-11-03 18:19:22.468000+09:00,4,0.1040378856677132,2
509,1,2023-11-03 20:05:32.057000+09:00,1,0.05920142555536586,4
512,1,2023-11-03 23:09:15.036000+09:00,2,0.016075113423918003,1
519,1,2023-11-04 03:53:03.917000+09:00,2,0.0027808669742576957,2
520,1,2023-11-04 04:02:08.581000+09:00,4,0.8761814614833182,2
523,1,2023-11-04 16:53:07.040000+09:00,4,0.0011843495555252045,4
524,1,2023-11-04 17:07:57.521000+09:00,2,0.57099840351518,4
528,1,2023-11-04 23:50:05.125000+09:00,10,0.010714477745345088,2
529,1,2023-11-05 00:18:26.175000+09:00,2,0.15587094836451762,10
530,1,2023-11-05 06:37:20.819000+09:00,2,0.0010991382420422462,2
531,1,2023-11-05 06:50:48.278000+09:00,4,0.6387232080003661,2
532,1,2023-11-05 16:41:38.609000+09:00,1,0.01047017095869173,4
535,1,2023-11-05 19:00:31.449000+09:00,2,0.017155471837277784,1
536,1,2023-11-05 22:15:23.836000+09:00,1,0.013306703859149033,2
538,1,2023-11-05 22:48:05.308000+09:00,2,0.08396656112056274,1
539,1,2023-11-06 04:51:42.999000+09:00,4,0.022160006121579052,2
540,1,2023-11-06 06:11:43.997000+09:00,4,0.005244452848252987,4
541,1,2023-11-06 13:21:26.001000+09:00,251,0.16561320871136653,4
554,1,2023-11-06 15:20:20.533000+09:00,1,0.5591369476986698,251
555,1,2023-11-06 16:12:09.606000+09:00,3,0.02624792241184558,1
556,1,2023-11-06 17:06:40.443000+09:00,1,0.05679187919839803,3
560,1,2023-11-06 17:40:40.048000+09:00,1,0.07426702602993948,1
564,1,2023-11-06 17:54:28.518000+09:00,2,0.12284216235499656,1
567,1,2023-11-07 10:40:05.950000+09:00,4,0.0077874595556053725,2
568,1,2023-11-07 16:00:15.267000+09:00,3,0.022458049481931214,4
569,1,2023-11-07 17:00:31.519000+09:00,3,0.0038827990074807527,3
570,1,2023-11-07 18:55:03.831000+09:00,10,0.06621198088416295,3
572,1,2023-11-07 19:53:01.275000+09:00,3,0.15336552437176543,10
574,1,2023-11-08 09:16:46.366000+09:00,3,0.0006747705416065463,3
575,1,2023-11-08 09:50:06.235000+09:00,3,1.790738960432047e-07,3
576,1,2023-11-08 12:12:07.993000+09:00,10,0.05495013803776926,3
577,1,2023-11-08 13:08:28.352000+09:00,1,0.149232679905867,10
579,1,2023-11-08 21:12:55.806000+09:00,2,0.005115027857766404,1
580,1,2023-11-09 09:00:05.262000+09:00,1,0.004142435376583133,2
581,1,2023-11-09 12:00:29.783000+09:00,1,0.008338301497115517,1
582,1,2023-11-09 16:00:04.097000+09:00,1,0.010638723791970854,1
583,1,2023-11-10 13:18:53.082000+09:00,5,0.005927147905359131,1
584,1,2023-11-10 13:28:22.415000+09:00,15,2.4180296943971746,5
595,1,2023-11-10 15:32:09.190000+09:00,249,0.06186835102080662,15
596,1,2023-11-10 15:39:43.161000+09:00,4,3.38504824864862,249
597,1,2023-11-10 16:07:20.832000+09:00,2,0.3366248567969816,4
600,1,2023-11-10 18:45:50.148000+09:00,1,0.0551324556476168,2
602,1,2023-11-11 01:05:04.633000+09:00,2,0.023305920606489675,1
605,1,2023-11-11 10:53:54.785000+09:00,1,0.015263283231802191,2
607,1,2023-11-11 17:15:21.344000+09:00,4,0.00774727840172563,1
608,1,2023-11-11 18:43:54.070000+09:00,2,0.09519377041591495,4
611,1,2023-11-12 04:34:19.670000+09:00,4,0.014118433136659614,2
612,1,2023-11-12 18:48:31.885000+09:00,2,0.01084195046428818,4
614,1,2023-11-13 05:25:26+09:00,1,0.01309985035514179,2
616,1,2023-11-13 14:14:27.043000+09:00,2,0.01726829625563337,1
617,1,2023-11-13 18:43:26.414000+09:00,1,0.03224100497684742,2
619,1,2023-11-14 07:21:35.999000+09:00,5,0.010328031794479628,1
627,1,2023-11-14 07:39:00.684000+09:00,251,4.374448425016494,5
644,1,2023-11-14 07:55:05.949000+09:00,260,3.226313037408303,251
648,1,2023-11-14 08:00:56.050000+09:00,266,1.549791203158458,260
657,1,2023-11-14 16:26:38.837000+09:00,16,0.021910687808070404,266
665,1,2023-11-14 16:36:47.507000+09:00,262,2.489125992964176,16
669,1,2023-11-14 16:46:46.205000+09:00,251,2.523303086966887,262
676,1,2023-11-14 17:00:01.289000+09:00,243,3.7770674152512083,251
678,1,2023-11-14 17:07:40.430000+09:00,15,2.9157603559219476,243
688,1,2023-11-14 17:12:56.741000+09:00,14,2.729166684557701,15
691,1,2023-11-14 17:26:14.986000+09:00,1,1.1675926854095833,14
694,1,2023-11-15 06:14:16.786000+09:00,5,0.01197394854388287,1
699,1,2023-11-15 06:26:46.605000+09:00,17,1.7003507571756922,5
720,1,2023-11-15 06:47:09.615000+09:00,251,3.8029393358085968,17
724,1,2023-11-15 06:54:04.244000+09:00,262,3.566968828111818,251
726,1,2023-11-15 06:59:55.268000+09:00,266,2.4927085410627243,262
727,1,2023-11-15 07:07:18.661000+09:00,267,1.8497647834424853,266
733,2,2023-10-11 18:10:21.848000+09:00,1,4.0857713275551116e-05,1
735,2,2023-10-11 18:16:19.642000+09:00,1,0.010916105091504761,1
741,2,2023-10-11 18:35:31+09:00,18,0.4181865187269966,1
746,2,2023-10-11 18:49:54.822000+09:00,185,6.8880916541578925,18
775,2,2023-10-11 21:58:29.001000+09:00,184,0.23493762869250473,185
777,2,2023-10-11 22:11:44+09:00,188,0.6302340213209401,184
779,2,2023-10-12 08:12:20+09:00,188,0.013908756536771589,188
780,2,2023-10-12 08:20:47+09:00,184,2.334770269944694,188
787,2,2023-10-12 08:34:25.501000+09:00,196,4.145014032839678,184
802,2,2023-10-12 08:53:01.410000+09:00,17,4.306636782858574,196
809,2,2023-10-12 09:03:03.001000+09:00,1,1.4990829674759165,17
816,2,2023-10-12 10:01:57.381000+09:00,3,0.03614086550874308,1
817,2,2023-10-12 11:12:55.796000+09:00,3,0.0015174390677013283,3
818,2,2023-10-12 12:13:31.594000+09:00,3,0.004781374506577845,3
819,2,2023-10-12 12:31:10.190000+09:00,3,0.01137350481887628,3
820,2,2023-10-12 15:34:56.607000+09:00,3,0.004375327836286349,3
821,2,2023-10-12 16:20:12.004000+09:00,2,0.08254417748054511,3
854,2,2023-10-12 16:40:03.001000+09:00,19,1.3224372665011297,2
882,2,2023-10-12 16:56:06.503000+09:00,266,7.448587723660634,19
883,2,2023-10-12 17:07:01.146000+09:00,16,1.3993535102164798,266
886,2,2023-10-12 17:16:50+09:00,263,0.850319285689793,16
888,2,2023-10-12 17:33:13.042000+09:00,263,0.08828526843241381,263
890,2,2023-10-12 18:17:00.342000+09:00,16,0.20094048323257227,263
897,2,2023-10-12 19:43:57+09:00,266,0.09586189398543471,16
899,2,2023-10-12 20:00:57.402000+09:00,262,0.5924256304384072,266
954,2,2023-10-13 14:00:16.443000+09:00,188,0.21360628244700025,262
955,2,2023-10-16 09:12:55.794000+09:00,188,5.2028631761785915e-05,188
958,2,2023-10-16 09:23:40+09:00,184,0.5116658610855691,188
971,2,2023-10-16 09:34:43.270000+09:00,196,5.562907601181419,184
983,2,2023-10-16 09:57:40+09:00,17,3.6906014615312257,196
993,2,2023-10-16 12:00:12.704000+09:00,2,0.16617293415652248,17
994,2,2023-10-16 14:00:22.042000+09:00,3,0.015624728534192812,2
