,node_id,geometry,total_positions,unique_participants,submuni_index,muni_index,node_type,node_x,node_y
201,201,POINT (189028.51481916438 449665.09209650714),3,,182.0,9.0,submunicipality,189028.51481916438,449665.09209650714
202,202,POINT (195675.5065771327 448957.3762046665),6,,201.0,11.0,submunicipality,195675.5065771327,448957.3762046665
203,203,POINT (196206.34222601505 448903.9097732125),5,,202.0,11.0,submunicipality,196206.34222601505,448903.9097732125
204,204,POINT (193906.7914630665 449324.42943609756),7,,203.0,11.0,submunicipality,193906.7914630665,449324.42943609756
205,205,POINT (190113.01032803825 453040.9202512864),6,,205.0,11.0,submunicipality,190113.01032803825,453040.9202512864
206,206,POINT (191173.51381659354 451261.74414376164),6,,206.0,11.0,submunicipality,191173.51381659354,451261.74414376164
207,207,POINT (193315.12629050584 450709.6144020779),12,,208.0,11.0,submunicipality,193315.12629050584,450709.6144020779
208,208,POINT (191193.79893603336 450433.5220127237),15,,209.0,11.0,submunicipality,191193.79893603336,450433.5220127237
209,209,POINT (192091.88147590682 449499.0204981698),32,,211.0,11.0,submunicipality,192091.88147590682,449499.0204981698
210,210,POINT (193005.15751593575 449934.7569940162),55,,212.0,11.0,submunicipality,193005.15751593575,449934.7569940162
211,211,POINT (195300.70661878443 448948.272071628),2,,214.0,11.0,submunicipality,195300.70661878443,448948.272071628
212,212,POINT (194842.38370266382 449473.61252185),9,,215.0,11.0,submunicipality,194842.38370266382,449473.61252185
213,213,POINT (195155.88991682368 448601.8088234391),3,,216.0,11.0,submunicipality,195155.88991682368,448601.8088234391
214,214,POINT (193380.14215399034 451510.54158931546),6,,217.0,12.0,submunicipality,193380.14215399034,451510.54158931546
215,215,POINT (194518.7241182809 450587.3407252584),19,,218.0,12.0,submunicipality,194518.7241182809,450587.3407252584
216,216,POINT (196161.92922464947 450573.79164914606),3,,219.0,12.0,submunicipality,196161.92922464947,450573.79164914606
217,217,POINT (197246.7665515341 450791.16835926694),5,,220.0,12.0,submunicipality,197246.7665515341,450791.16835926694
218,218,POINT (195101.20341476964 454441.32195569994),9,,226.0,12.0,submunicipality,195101.20341476964,454441.32195569994
219,219,POINT (195449.59871473646 453492.55850924354),2,,227.0,12.0,submunicipality,195449.59871473646,453492.55850924354
220,220,POINT (199548.45587405676 456383.76311267016),2,,306.0,17.0,submunicipality,199548.45587405676,456383.76311267016
221,221,POINT (202520.79742449237 453694.2068512853),5,,310.0,17.0,submunicipality,202520.79742449237,453694.2068512853
222,222,POINT (205859.40311646578 447818.99786034186),18,,343.0,20.0,submunicipality,205859.40311646578,447818.99786034186
223,223,POINT (207525.02470682445 447415.0020330384),4,,345.0,20.0,submunicipality,207525.02470682445,447415.0020330384
224,224,POINT (209330.3346525242 449251.8370078619),113,,347.0,20.0,submunicipality,209330.3346525242,449251.8370078619
225,225,POINT (208255.54218415212 448164.90873465256),5,,348.0,20.0,submunicipality,208255.54218415212,448164.90873465256
226,226,POINT (208174.526113804 449628.3950808515),4,,349.0,20.0,submunicipality,208174.526113804,449628.3950808515
227,227,POINT (207694.11647418718 448371.28413034964),2,,350.0,20.0,submunicipality,207694.11647418718,448371.28413034964
228,228,POINT (207172.9098904555 449345.2842650752),16,,351.0,20.0,submunicipality,207172.9098904555,449345.2842650752
229,229,POINT (207187.04282137583 451540.99346179597),4,,353.0,20.0,submunicipality,207187.04282137583,451540.99346179597
230,230,POINT (207750.2346138641 450213.431747911),22,,354.0,20.0,submunicipality,207750.2346138641,450213.431747911
231,231,POINT (206975.3029528822 450609.86153719184),10,,355.0,20.0,submunicipality,206975.3029528822,450609.86153719184
232,232,POINT (206619.3448099194 449907.4191688596),4,,356.0,20.0,submunicipality,206619.3448099194,449907.4191688596
233,233,POINT (206210.24290329058 448709.28102775104),15,,357.0,20.0,submunicipality,206210.24290329058,448709.28102775104
